image_urls,images,name,price
"https://data.favorit-motors.ru/upload/iblock/ba0/ba030512eca7675fe12acfebfdf3ebed.jpg,https://data.favorit-motors.ru/upload/iblock/d20/d2011af4fa4cb5b8a9f7ce6bf0e658bc.jpg,https://data.favorit-motors.ru/upload/iblock/ec4/ec4beb5d83d11a3efa30a5ca4fbc3848.jpg,https://data.favorit-motors.ru/upload/iblock/660/660fe9a9a44fbae31696bd0c433aa78a.jpg,https://data.favorit-motors.ru/upload/iblock/704/7044f7932317ae989a8be5756d5436bb.jpg,https://data.favorit-motors.ru/upload/iblock/721/72189dcaf8a8ba054a76b151fbb5db3e.jpg,https://data.favorit-motors.ru/upload/iblock/91a/91a4dbf75337d251d5a0d432632d7edc.jpg,https://data.favorit-motors.ru/upload/iblock/3fa/3fa9661b699dab97241607dd2ef8b6f0.jpg,https://data.favorit-motors.ru/upload/iblock/cca/ccad5e1efd78102fcc869eb19cc2ae49.jpg,https://data.favorit-motors.ru/upload/iblock/995/995191b2fcb8717c84ce07ffad15acb3.jpg",,HAVAL M6 2023  1.5 бензин механика,2 079 000 ₽
"https://data.favorit-motors.ru/upload/iblock/b0e/b0e1280564f5af84042fc8e33b0c3421.jpg,https://data.favorit-motors.ru/upload/iblock/6ad/6ada32f9fc7f2413edb17bd59cc05f90.jpg,https://data.favorit-motors.ru/upload/iblock/cfa/cfa2ee798056e2263466fa253e7376be.jpg,https://data.favorit-motors.ru/upload/iblock/4c6/4c6779ea7c2f2acb429b29db364100a1.jpg,https://data.favorit-motors.ru/upload/iblock/e04/e04f6db7969bd1b99bad29c7c0c8d3ab.jpg,https://data.favorit-motors.ru/upload/iblock/7f0/7f0671b5552291fd45a7e280189f4faa.jpg,https://data.favorit-motors.ru/upload/iblock/013/013223fde96b18429099ed6b0624eb04.jpg,https://data.favorit-motors.ru/upload/iblock/4be/4becd7b12ffe17ef6a408803222601b9.jpg,https://data.favorit-motors.ru/upload/iblock/2c7/2c7361433bbf3bb1874aa2f9b61f3b53.jpg,https://data.favorit-motors.ru/upload/iblock/8eb/8eb9995a9e0ab5976d222f9c57bb650b.jpg,https://data.favorit-motors.ru/upload/iblock/6d1/6d13e79a4e733b84ac79a91e47d751d2.jpg",,"CHANGAN CS35PLUS NEW 2023 CHANGAN CS35PLUS NEW 1,4T DCT MCA TECH AT 1.4 бензин робот",2 179 900 ₽
"https://data.favorit-motors.ru/upload/iblock/d02/d02467ee4bb322ca7ddaea64c6c3cfde.jpg,https://data.favorit-motors.ru/upload/iblock/fa5/fa5c3ebdbd5852c033a62166760dc02b.jpg,https://data.favorit-motors.ru/upload/iblock/6a0/6a081fdfa9db07fcab5abbe276288c9d.jpg,https://data.favorit-motors.ru/upload/iblock/df6/df60aba82ba8b6fa279093ed449d0ed7.jpg,https://data.favorit-motors.ru/upload/iblock/fe3/fe3c684ff4ea921f14405eebb41efe9f.jpg,https://data.favorit-motors.ru/upload/iblock/2db/2dbc6a17e4994d7025a9aff178e9eb2a.jpg,https://data.favorit-motors.ru/upload/iblock/bef/bef85ef2509cd987f763af1030724009.jpg,https://data.favorit-motors.ru/upload/iblock/d43/d4319931f15981f68b0b7ef9cf4300de.jpg,https://data.favorit-motors.ru/upload/iblock/1a6/1a6212174f4a70fff613f8fac03f8368.jpg,https://data.favorit-motors.ru/upload/iblock/2aa/2aaea93bbbb0ed182138c9e66997c048.jpg,https://data.favorit-motors.ru/upload/iblock/004/00435498d6559cbcac72d4c2bb9daeff.jpg,https://data.favorit-motors.ru/upload/iblock/c36/c36fdca64638ddbd3bafe2219aaf390a.jpg",,CHERY TIGGO 8 2023 TIGGO 8 1.5T DCT PRESTIGE PLUS 1.5 бензин робот,3 109 900 ₽
"https://data.favorit-motors.ru/upload/iblock/6b9/6b9411d30c81fc0c1b7474c4c78d4aa8.jpg,https://data.favorit-motors.ru/upload/iblock/2e4/2e42c8ff5874e3a32e6c82185be93aaa.jpg,https://data.favorit-motors.ru/upload/iblock/2c9/2c9471032403fa222d702791edcd8c2e.jpg,https://data.favorit-motors.ru/upload/iblock/2e4/2e46203c4593077dfadcb73788a9a9cc.jpg,https://data.favorit-motors.ru/upload/iblock/91e/91e8c5028d2ac7155a038eb029c088bf.jpg,https://data.favorit-motors.ru/upload/iblock/61d/61d7b8844e92784be92492c451a30597.jpg,https://data.favorit-motors.ru/upload/iblock/c42/c427d629b425d5023b988d287466b4b9.jpg,https://data.favorit-motors.ru/upload/iblock/8a6/8a657a523cf8ab60ebec416176abb8f7.jpg,https://data.favorit-motors.ru/upload/iblock/cac/cacc478c705970a2f1785bfe643401b7.jpg,https://data.favorit-motors.ru/upload/iblock/783/78392ae4c35f909f68bc952bcaef36c3.jpg",,"CHANGAN UNI-T 2023 CHANGAN UNI-T 1,5T DCT TECH 1.5 бензин робот",2 819 900 ₽
"https://data.favorit-motors.ru/upload/iblock/d2e/d2ef5882517f9cb3d80e0f0e82ed30a4.jpg,https://data.favorit-motors.ru/upload/iblock/29a/29aebc27320b391f81492c15d5739904.jpg,https://data.favorit-motors.ru/upload/iblock/4c1/4c10a5624066bdecc781b2db32fb6b42.jpg,https://data.favorit-motors.ru/upload/iblock/6b6/6b6d75a3ec5d17d2996a2655adf67714.jpg,https://data.favorit-motors.ru/upload/iblock/06b/06b264ccc552a17cf8a2c119ff526371.jpg,https://data.favorit-motors.ru/upload/iblock/b19/b19061d1313eac615ea076e88ae406ce.jpg,https://data.favorit-motors.ru/upload/iblock/cb8/cb8c42101c27a91c5286c0916d1ece26.jpg,https://data.favorit-motors.ru/upload/iblock/761/761666baea7de522439db4c3c32ed185.jpg,https://data.favorit-motors.ru/upload/iblock/ad3/ad319d35d78590f1bc317278ef4348aa.jpg,https://data.favorit-motors.ru/upload/iblock/666/66663052462ea32f0cd4c3bcc27e6de0.jpg,https://data.favorit-motors.ru/upload/iblock/471/471763e852c7d72ffefe8943a0e195e6.jpg",,"GEELY TUGELLA 2023 TUGELLA (FY11) AКПП 2,0 FLAGSHIP 4WD J1-FL MY23 2 бензин автомат",4 289 990 ₽
"https://data.favorit-motors.ru/upload/iblock/e74/e744bf1a4802b72e7767064a4c914c10.jpg,https://data.favorit-motors.ru/upload/iblock/d52/d524d5238a2d2e07c24132e4a20bf9a8.jpg,https://data.favorit-motors.ru/upload/iblock/59a/59abec983869092fd0fab180bb57b837.jpg,https://data.favorit-motors.ru/upload/iblock/09b/09b380fcd10739e8cc49580111f797a1.jpg,https://data.favorit-motors.ru/upload/iblock/6ac/6ac6871dc3b8fbb608989522fdecad56.jpg,https://data.favorit-motors.ru/upload/iblock/203/203c6c3075ffd597093fafaa70094837.jpg,https://data.favorit-motors.ru/upload/iblock/476/4765557925cd47dc03ffc2bb36d578d9.jpg,https://data.favorit-motors.ru/upload/iblock/ed1/ed146aba619f52a69bb270c073087102.jpg,https://data.favorit-motors.ru/upload/iblock/659/65930e15c6c38349e762ec58bb2d25a1.jpg,https://data.favorit-motors.ru/upload/iblock/b34/b34da2fe92e166bd7dc6de5e7be69f46.jpg",,"CHANGAN UNI-T 2023 CHANGAN UNI-T 1,5T DCT TECH 1.5 бензин робот",2 819 900 ₽
"https://data.favorit-motors.ru/upload/iblock/853/8536381ab4f7056637875e191198f9d7.jpg,https://data.favorit-motors.ru/upload/iblock/881/881aee4518917e1745963281d74ffcd0.jpg,https://data.favorit-motors.ru/upload/iblock/b98/b98f6c093f340efe973d87f64f4520a7.jpg,https://data.favorit-motors.ru/upload/iblock/3f6/3f68490e9dddb950c97cd1568aafe5c9.jpg,https://data.favorit-motors.ru/upload/iblock/421/4210b6216529776416051678b9ff7bc9.jpg,https://data.favorit-motors.ru/upload/iblock/641/641a628e6bad8d53a71c81ca157400fe.jpg,https://data.favorit-motors.ru/upload/iblock/6bf/6bfc01abce8339b8f4458dd74e08a2c8.jpg,https://data.favorit-motors.ru/upload/iblock/338/33811736ce5949059a99a2269a733ecd.jpg,https://data.favorit-motors.ru/upload/iblock/c83/c830fe79cf30003802939bdf46fee539.jpg,https://data.favorit-motors.ru/upload/iblock/a46/a467d937646c09f9ffd3a4e642a4cf5c.jpg,https://data.favorit-motors.ru/upload/iblock/75b/75b85a6bb1d964d7cdf02fc5a501831b.jpg,https://data.favorit-motors.ru/upload/iblock/684/684a0855a08364c954732ade32d376c4.jpg",,CHERY TIGGO 8 PRO MAX NEW 2023 TIGGO 8 PRO MAX NEW 2.0T DCT ULTIMATE 4WD 2 бензин робот,4 650 900 ₽
"https://data.favorit-motors.ru/upload/iblock/6dc/6dc851d1f44138156aace2f171a224a6.jpg,https://data.favorit-motors.ru/upload/iblock/e96/e9646cdceae5b8a54f0bc9776456ed83.jpg,https://data.favorit-motors.ru/upload/iblock/517/517798674637e0a719be302fc44c341d.jpg,https://data.favorit-motors.ru/upload/iblock/e4e/e4e56102b17e454a3ae1e22bc6ae756d.jpg,https://data.favorit-motors.ru/upload/iblock/d63/d63496045b11a5a6e5d0ee013246e44d.jpg,https://data.favorit-motors.ru/upload/iblock/38e/38e358044a3bd142ee43926986760a90.jpg,https://data.favorit-motors.ru/upload/iblock/5f4/5f40ca4958325b4e2329285a7f31f0ce.jpg,https://data.favorit-motors.ru/upload/iblock/b25/b253ab37a982ec4e4bcb680391789c1e.jpg,https://data.favorit-motors.ru/upload/iblock/97d/97dfbe6c465f0bd2e0158d366065a327.jpg,https://data.favorit-motors.ru/upload/iblock/58f/58f553be9141fa7cc9c7ede6f7dc937f.jpg",,HAVAL F7X 2023 ELITE 2 бензин робот,2 949 000 ₽
"https://data.favorit-motors.ru/upload/iblock/179/179599f9bb5a478ae42f7b8432cfebfa.jpg,https://data.favorit-motors.ru/upload/iblock/bce/bcee5a35bef7cd19ce7f1bce3bcdd9e6.jpg,https://data.favorit-motors.ru/upload/iblock/24d/24df7fcd67b8275dd28e653f3880c5ea.jpg,https://data.favorit-motors.ru/upload/iblock/d49/d499f538ec50e7ae011df02b1c3c681d.jpg,https://data.favorit-motors.ru/upload/iblock/883/883fa74e60b2630397ecfa443e626bca.jpg,https://data.favorit-motors.ru/upload/iblock/b30/b30ff4209169e5163a8d70083c125e0f.jpg,https://data.favorit-motors.ru/upload/iblock/f7c/f7c9a181fa4a051676b3214319b7b08b.jpg,https://data.favorit-motors.ru/upload/iblock/1d8/1d8069ccabc371017fc2efb1b9c4f701.jpg,https://data.favorit-motors.ru/upload/iblock/c4e/c4ec68468d7e21e176aebf66c94f79f1.jpg,https://data.favorit-motors.ru/upload/iblock/ebc/ebc9b3ca0d668e5287057e0d1f1b9179.jpg,https://data.favorit-motors.ru/upload/iblock/c95/c95fa32c93cb294514ed342a1af13acd.jpg",,GEELY ATLAS PRO 2024 ATLAS PRO АКПП7 1.5 FLAGSHIP+ 4Х4 1.5 бензин автомат,3 393 990 ₽
"https://data.favorit-motors.ru/upload/iblock/ab8/ab886bc480bca9e33e35b3b0f2a5df56.jpg,https://data.favorit-motors.ru/upload/iblock/612/61295f967920481ada85e47999c1b20c.jpg,https://data.favorit-motors.ru/upload/iblock/5b9/5b9a0976d7a5444588e54be15bf6a102.jpg,https://data.favorit-motors.ru/upload/iblock/a4f/a4f41a600e425a985ac37e7f5a2692b1.jpg,https://data.favorit-motors.ru/upload/iblock/567/5678884b57447bfa0877a45eba87d74e.jpg,https://data.favorit-motors.ru/upload/iblock/c06/c0646683d72fb63f859851ac4d70eaf6.jpg,https://data.favorit-motors.ru/upload/iblock/3a5/3a5de74fd7182a24386a076c1afd8a5c.jpg,https://data.favorit-motors.ru/upload/iblock/0d5/0d58b7f0c8ac6a03466b2923f091e097.jpg,https://data.favorit-motors.ru/upload/iblock/fab/fabdaadced2533154a42dc93303c5b53.jpg,https://data.favorit-motors.ru/upload/iblock/fae/fae59b35825f6ab7169b5e7a1b872815.jpg,https://data.favorit-motors.ru/upload/iblock/2bb/2bbbeb2e2ed4af741837ce1ff2e4e5c5.jpg",,"CHANGAN CS55PLUS 2023 CHANGAN CS55PLUS 1,5Т DCT TECH AT 1.5 бензин робот",2 479 900 ₽
